timestep,body_id,id,x,y,z
0.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,2.0,0.5,0.866025,0.0
0.0,1.0,3.0,-0.5,0.866025,0.0
0.0,1.0,4.0,-1.0,0.0,0.0
0.0,1.0,5.0,-0.5,-0.866025,0.0
0.0,1.0,6.0,0.5,-0.866025,0.0
0.0,1.0,7.0,0.0,0.0,0.0
0.0,2.0,8.0,11.0,0.0,0.0
0.0,2.0,9.0,10.5,0.866025,0.0
0.0,2.0,10.0,9.5,0.866025,0.0
0.0,2.0,11.0,9.0,0.0,0.0
0.0,2.0,12.0,9.5,-0.866025,0.0
0.0,2.0,13.0,10.5,-0.866025,0.0
0.0,2.0,14.0,10.0,0.0,0.0
10000.0,1.0,1.0,0.997675,-0.0174149,0.0658845
10000.0,1.0,2.0,0.516393,0.856341,-0.00424106
10000.0,1.0,3.0,-0.481282,0.873756,-0.0701255
10000.0,1.0,4.0,-0.997675,0.0174149,-0.0658845
10000.0,1.0,5.0,-0.516393,-0.856341,0.00424106
10000.0,1.0,6.0,0.481282,-0.873756,0.0701255
10000.0,1.0,7.0,-5.55112e-18,5.55112e-18,0.0
10000.0,2.0,8.0,10.9982,-0.0528025,-0.0277079
10000.0,2.0,9.0,10.5452,0.838312,-0.0016909
10000.0,2.0,10.0,9.54697,0.891114,0.026017
10000.0,2.0,11.0,9.00178,0.0528025,0.0277079
10000.0,2.0,12.0,9.45481,-0.838312,0.0016909
10000.0,2.0,13.0,10.453,-0.891114,-0.026017
10000.0,2.0,14.0,10.0,3.17207e-18,-9.91271e-20
20000.0,1.0,1.0,0.990824,-0.0318752,0.131343
20000.0,1.0,2.0,0.532969,0.846093,-0.00844365
20000.0,1.0,3.0,-0.457856,0.877968,-0.139787
20000.0,1.0,4.0,-0.990824,0.0318752,-0.131343
20000.0,1.0,5.0,-0.532969,-0.846093,0.00844365
20000.0,1.0,6.0,0.457856,-0.877968,0.139787
20000.0,1.0,7.0,-1.11022e-17,1.11022e-17,0.0
20000.0,2.0,8.0,10.9929,-0.105002,-0.0553121
20000.0,2.0,9.0,10.5888,0.808241,-0.00337727
20000.0,2.0,10.0,9.59591,0.913243,0.0519349
20000.0,2.0,11.0,9.00707,0.105002,0.0553121
20000.0,2.0,12.0,9.41116,-0.808241,0.00337727
20000.0,2.0,13.0,10.4041,-0.913243,-0.0519349
20000.0,2.0,14.0,10.0,6.34413e-18,-1.98254e-19
30000.0,1.0,1.0,0.979655,-0.0432871,0.195964
30000.0,1.0,2.0,0.549799,0.835203,-0.0125529
30000.0,1.0,3.0,-0.429856,0.87849,-0.208517
30000.0,1.0,4.0,-0.979655,0.0432871,-0.195964
30000.0,1.0,5.0,-0.549799,-0.835203,0.0125529
30000.0,1.0,6.0,0.429856,-0.87849,0.208517
30000.0,1.0,7.0,-1.66533e-17,1.66533e-17,0.0
30000.0,2.0,8.0,10.9842,-0.156398,-0.082711
30000.0,2.0,9.0,10.6309,0.775866,-0.00505747
30000.0,2.0,10.0,9.64665,0.932264,0.0776536
30000.0,2.0,11.0,9.01578,0.156398,0.082711
30000.0,2.0,12.0,9.36912,-0.775866,0.00505747
30000.0,2.0,13.0,10.3533,-0.932264,-0.0776536
30000.0,2.0,14.0,10.0,9.5162e-18,-2.97381e-19
40000.0,1.0,1.0,0.964404,-0.051585,0.259352
40000.0,1.0,2.0,0.566944,0.823591,-0.0164968
40000.0,1.0,3.0,-0.39746,0.875176,-0.275848
40000.0,1.0,4.0,-0.964404,0.051585,-0.259352
40000.0,1.0,5.0,-0.566944,-0.823591,0.0164968
40000.0,1.0,6.0,0.39746,-0.875176,0.275848
40000.0,1.0,7.0,-2.22045e-17,2.22045e-17,0.0
40000.0,2.0,8.0,10.9722,-0.206803,-0.109806
40000.0,2.0,9.0,10.6712,0.741237,-0.00673292
40000.0,2.0,10.0,9.69901,0.94804,0.103073
40000.0,2.0,11.0,9.0278,0.206803,0.109806
40000.0,2.0,12.0,9.32879,-0.741237,0.00673292
40000.0,2.0,13.0,10.301,-0.94804,-0.103073
40000.0,2.0,14.0,10.0,1.26883e-17,-3.96508e-19
50000.0,1.0,1.0,0.945335,-0.0567319,0.32113
50000.0,1.0,2.0,0.584452,0.811177,-0.0201867
50000.0,1.0,3.0,-0.360883,0.867909,-0.341316
50000.0,1.0,4.0,-0.945335,0.0567319,-0.32113
50000.0,1.0,5.0,-0.584452,-0.811177,0.0201867
50000.0,1.0,6.0,0.360883,-0.867909,0.341316
50000.0,1.0,7.0,-2.77556e-17,2.77556e-17,0.0
50000.0,2.0,8.0,10.957,-0.256047,-0.136502
50000.0,2.0,9.0,10.7097,0.704406,-0.00840791
50000.0,2.0,10.0,9.75277,0.960452,0.128094
50000.0,2.0,11.0,9.04302,0.256047,0.136502
50000.0,2.0,12.0,9.29025,-0.704406,0.00840791
50000.0,2.0,13.0,10.2472,-0.960452,-0.128094
50000.0,2.0,14.0,10.0,1.58603e-17,-4.95635e-19
60000.0,1.0,1.0,0.922731,-0.0587185,0.380946
60000.0,1.0,2.0,0.602354,0.797883,-0.0235194
60000.0,1.0,3.0,-0.320377,0.856601,-0.404466
60000.0,1.0,4.0,-0.922731,0.0587185,-0.380946
60000.0,1.0,5.0,-0.602354,-0.797883,0.0235194
60000.0,1.0,6.0,0.320377,-0.856601,0.404466
60000.0,1.0,7.0,-3.33067e-17,3.33067e-17,0.0
60000.0,2.0,8.0,10.9387,-0.303973,-0.162709
60000.0,2.0,9.0,10.7464,0.665425,-0.0100893
60000.0,2.0,10.0,9.80771,0.969398,0.15262
60000.0,2.0,11.0,9.06132,0.303973,0.162709
60000.0,2.0,12.0,9.2536,-0.665425,0.0100893
60000.0,2.0,13.0,10.1923,-0.969398,-0.15262
60000.0,2.0,14.0,10.0,1.90324e-17,-5.94762e-19
70000.0,1.0,1.0,0.896898,-0.0575632,0.438475
70000.0,1.0,2.0,0.620666,0.783631,-0.0263779
70000.0,1.0,3.0,-0.276232,0.841194,-0.464853
70000.0,1.0,4.0,-0.896898,0.0575632,-0.438475
70000.0,1.0,5.0,-0.620666,-0.783631,0.0263779
70000.0,1.0,6.0,0.276232,-0.841194,0.464853
70000.0,1.0,7.0,-3.88578e-17,3.88578e-17,0.0
70000.0,2.0,8.0,10.9175,-0.350443,-0.188341
70000.0,2.0,9.0,10.7811,0.624351,-0.011786
70000.0,2.0,10.0,9.8636,0.974795,0.176555
70000.0,2.0,11.0,9.08255,0.350443,0.188341
70000.0,2.0,12.0,9.21895,-0.624351,0.011786
70000.0,2.0,13.0,10.1364,-0.974795,-0.176555
70000.0,2.0,14.0,10.0,2.22045e-17,-6.93889e-19
80000.0,1.0,1.0,0.868157,-0.0533104,0.493417
80000.0,1.0,2.0,0.639388,0.768351,-0.0286332
80000.0,1.0,3.0,-0.22877,0.821662,-0.522051
80000.0,1.0,4.0,-0.868157,0.0533104,-0.493417
80000.0,1.0,5.0,-0.639388,-0.768351,0.0286332
80000.0,1.0,6.0,0.22877,-0.821662,0.522051
80000.0,1.0,7.0,-4.44089e-17,4.44089e-17,0.0
