timestep,body_id,id,x,y,z
0.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,2.0,0.5,0.866025,0.0
0.0,1.0,3.0,-0.5,0.866025,0.0
0.0,1.0,4.0,-1.0,0.0,0.0
0.0,1.0,5.0,-0.5,-0.866025,0.0
0.0,1.0,6.0,0.5,-0.866025,0.0
0.0,1.0,7.0,0.0,0.0,0.0
0.0,2.0,8.0,2.0,1.0,2.0
0.0,2.0,9.0,1.5,1.86603,2.0
0.0,2.0,10.0,0.5,1.86603,2.0
0.0,2.0,11.0,0.0,1.0,2.0
0.0,2.0,12.0,0.5,0.133975,2.0
0.0,2.0,13.0,1.5,0.133975,2.0
0.0,2.0,14.0,1.0,1.0,2.0
1.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,2.0,0.5,0.866025,0.0
1.0,1.0,3.0,-0.5,0.866025,0.0
1.0,1.0,4.0,-1.0,0.0,0.0
1.0,1.0,5.0,-0.5,-0.866025,0.0
1.0,1.0,6.0,0.5,-0.866025,0.0
1.0,1.0,7.0,0.0,0.0,0.0
1.0,2.0,8.0,2.0,1.0,2.0
1.0,2.0,9.0,1.5,1.86603,2.0
1.0,2.0,10.0,0.5,1.86603,2.0
1.0,2.0,11.0,0.0,1.0,2.0
1.0,2.0,12.0,0.5,0.133975,2.0
1.0,2.0,13.0,1.5,0.133975,2.0
1.0,2.0,14.0,1.0,1.0,2.0
1000.0,1.0,1.0,0.98992,0.00585931,-0.0208497
1000.0,1.0,2.0,0.495232,0.874905,-0.0143012
1000.0,1.0,3.0,-0.50446,0.881011,0.00973109
1000.0,1.0,4.0,-1.00946,0.0180715,0.0272148
1000.0,1.0,5.0,-0.514776,-0.850974,0.0206663
1000.0,1.0,6.0,0.484916,-0.85708,-0.00336594
1000.0,1.0,7.0,-0.00977213,0.0119654,0.00318257
1000.0,2.0,8.0,2.00538,1.00625,2.00416
1000.0,2.0,9.0,1.50316,1.87096,1.99623
1000.0,2.0,10.0,0.503239,1.86833,1.98405
1000.0,2.0,11.0,0.00553214,1.00099,1.9798
1000.0,2.0,12.0,0.507748,0.136286,1.98773
1000.0,2.0,13.0,1.50767,0.138914,1.99991
1000.0,2.0,14.0,1.00545,1.00362,1.99198
2000.0,1.0,1.0,0.99038,0.0155004,-0.0123883
2000.0,1.0,2.0,0.50379,0.888834,0.0103906
2000.0,1.0,3.0,-0.495185,0.903644,0.0531703
2000.0,1.0,4.0,-1.00757,0.045121,0.073171
2000.0,1.0,5.0,-0.520979,-0.828212,0.0503921
2000.0,1.0,6.0,0.477995,-0.843023,0.00761243
2000.0,1.0,7.0,-0.00859457,0.0303107,0.0303914
2000.0,2.0,8.0,2.0064,1.01313,2.03372
2000.0,2.0,9.0,1.51208,1.88156,1.99522
2000.0,2.0,10.0,0.512776,1.88686,1.95829
2000.0,2.0,11.0,0.00778884,1.02374,1.95987
2000.0,2.0,12.0,0.502105,0.155308,1.99836
2000.0,2.0,13.0,1.50141,0.150004,2.03529
2000.0,2.0,14.0,1.00709,1.01843,1.99679
3000.0,1.0,1.0,1.00159,0.0482628,-0.0200345
3000.0,1.0,2.0,0.507937,0.916064,0.0367906
3000.0,1.0,3.0,-0.489401,0.920126,0.109587
3000.0,1.0,4.0,-0.993088,0.0563871,0.125558
3000.0,1.0,5.0,-0.499436,-0.811414,0.0687331
3000.0,1.0,6.0,0.497903,-0.815476,-0.00406321
3000.0,1.0,7.0,0.00425073,0.052325,0.0527619
3000.0,2.0,8.0,2.00096,1.01858,2.06652
3000.0,2.0,9.0,1.53163,1.8963,1.96989
3000.0,2.0,10.0,0.53397,1.9257,1.90816
3000.0,2.0,11.0,0.00564236,1.07738,1.94305
3000.0,2.0,12.0,0.474974,0.199656,2.03968
3000.0,2.0,13.0,1.47263,0.170261,2.10141
3000.0,2.0,14.0,1.0033,1.04798,2.00479
4000.0,1.0,1.0,1.01934,0.085047,-0.0223356
4000.0,1.0,2.0,0.511818,0.943831,0.0477348
4000.0,1.0,3.0,-0.484695,0.930411,0.130079
4000.0,1.0,4.0,-0.973685,0.0582079,0.142352
4000.0,1.0,5.0,-0.466161,-0.800576,0.0722819
4000.0,1.0,6.0,0.530353,-0.787156,-0.010062
4000.0,1.0,7.0,0.0228287,0.0716274,0.0600084
4000.0,2.0,8.0,2.00168,1.00828,2.03869
4000.0,2.0,9.0,1.56755,1.9017,1.92323
4000.0,2.0,10.0,0.570615,1.97264,1.89015
4000.0,2.0,11.0,0.00781228,1.15017,1.97253
4000.0,2.0,12.0,0.441942,0.256744,2.08798
4000.0,2.0,13.0,1.43887,0.1858,2.12107
4000.0,2.0,14.0,1.00474,1.07922,2.00561
5000.0,1.0,1.0,1.05121,0.15482,-0.0018175
5000.0,1.0,2.0,0.529314,1.00528,0.0641173
5000.0,1.0,3.0,-0.468778,0.976462,0.118733
5000.0,1.0,4.0,-0.944971,0.0971942,0.107414
5000.0,1.0,5.0,-0.423072,-0.753261,0.0414796
5000.0,1.0,6.0,0.57502,-0.724448,-0.0131363
5000.0,1.0,7.0,0.0531209,0.126007,0.0527985
5000.0,2.0,8.0,1.98836,1.00238,2.03139
5000.0,2.0,9.0,1.59383,1.91331,1.91081
5000.0,2.0,10.0,0.600845,2.03144,1.90559
5000.0,2.0,11.0,0.00238844,1.23864,2.02096
5000.0,2.0,12.0,0.396916,0.327702,2.14155
5000.0,2.0,13.0,1.3899,0.20957,2.14676
5000.0,2.0,14.0,0.995373,1.12051,2.02618
6000.0,1.0,1.0,1.07222,0.248327,0.0359908
6000.0,1.0,2.0,0.526622,1.08309,0.110072
6000.0,1.0,3.0,-0.471837,1.02856,0.120398
6000.0,1.0,4.0,-0.924699,0.139265,0.0566422
6000.0,1.0,5.0,-0.379102,-0.695502,-0.0174393
6000.0,1.0,6.0,0.619356,-0.640971,-0.027765
6000.0,1.0,7.0,0.07376,0.193796,0.0463165
6000.0,2.0,8.0,1.98807,0.996603,2.02847
6000.0,2.0,9.0,1.61815,1.91748,1.90541
6000.0,2.0,10.0,0.630359,2.06866,1.94305
6000.0,2.0,11.0,0.012496,1.29897,2.10374
6000.0,2.0,12.0,0.382422,0.378099,2.2268
6000.0,2.0,13.0,1.37021,0.226914,2.18916
6000.0,2.0,14.0,1.00028,1.14779,2.0661
7000.0,1.0,1.0,1.09815,0.333289,0.107222
7000.0,1.0,2.0,0.535405,1.15646,0.182793
7000.0,1.0,3.0,-0.461296,1.08623,0.142121
7000.0,1.0,4.0,-0.895257,0.19283,0.0258781
7000.0,1.0,5.0,-0.332516,-0.630342,-0.0496931
7000.0,1.0,6.0,0.664185,-0.560112,-0.00902125
7000.0,1.0,7.0,0.101444,0.263059,0.06655
7000.0,2.0,8.0,1.98044,0.982226,2.07013
7000.0,2.0,9.0,1.64115,1.91547,1.95204
7000.0,2.0,10.0,0.661223,2.10339,2.01856
7000.0,2.0,11.0,0.0205831,1.35807,2.20317
7000.0,2.0,12.0,0.359872,0.42483,2.32126
7000.0,2.0,13.0,1.3398,0.236908,2.25474
7000.0,2.0,14.0,1.00051,1.17015,2.13665
