timestep,c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
0.0,3.44265,1.13638,0.411036,0.557352,-1.13638,-0.411036,-0.0872342,-0.209289,0.0195305,0.0872342,0.209289,-0.0195305,-0.00819598,0.258144,-0.21955,0.940793,-0.132313,0.268729,0.0982378,0.949014,-0.187173,0.10355,0.312757,-0.232224,0.138101,0.233695,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
10000.0,3.43291,1.11465,0.412698,0.567091,-1.11465,-0.412698,-0.107522,-0.225171,0.0137189,0.107522,0.225171,-0.0137189,-0.0221861,0.260788,-0.207189,0.94264,-0.145803,0.274742,0.107128,0.944342,-0.187866,0.103776,0.312266,-0.232661,0.134424,0.235398,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
20000.0,3.42115,1.09136,0.413779,0.578851,-1.09136,-0.413779,-0.127658,-0.240735,0.00788771,0.127658,0.240735,-0.00788771,-0.036197,0.263341,-0.194785,0.94414,-0.159308,0.280483,0.116035,0.939407,-0.188571,0.10397,0.311777,-0.232946,0.130765,0.237171,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
30000.0,3.40738,1.06652,0.414276,0.592616,-1.06652,-0.414276,-0.147615,-0.25596,0.00204537,0.147615,0.25596,-0.00204537,-0.0502237,0.265802,-0.182344,0.945292,-0.172819,0.28595,0.124958,0.934212,-0.189284,0.104132,0.31129,-0.233077,0.12713,0.239012,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
40000.0,3.39163,1.04018,0.414188,0.608367,-1.04018,-0.414188,-0.167364,-0.270824,-0.00379986,0.167364,0.270824,0.00379986,-0.0642611,0.268169,-0.169869,0.946098,-0.186326,0.291141,0.133896,0.928758,-0.190007,0.104261,0.310806,-0.233055,0.123526,0.240915,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
50000.0,3.37392,1.01237,0.413516,0.626081,-1.01237,-0.413516,-0.186876,-0.285306,-0.00963972,0.186876,0.285306,0.00963972,-0.0783044,0.27044,-0.157365,0.946555,-0.199821,0.296053,0.142849,0.923048,-0.190737,0.104358,0.310326,-0.232879,0.119959,0.24288,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
60000.0,3.35427,0.983129,0.41226,0.645734,-0.983129,-0.41226,-0.206125,-0.299385,-0.015466,0.206125,0.299385,0.015466,-0.0923485,0.272615,-0.144837,0.946665,-0.213296,0.300686,0.151817,0.917085,-0.191474,0.104423,0.30985,-0.23255,0.116435,0.244901,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
70000.0,3.3327,0.952504,0.410423,0.667297,-0.952504,-0.410423,-0.225083,-0.313042,-0.0212704,0.225083,0.313042,0.0212704,-0.106388,0.274691,-0.13229,0.946428,-0.226741,0.305038,0.1608,0.91087,-0.192216,0.104455,0.309379,-0.232069,0.112959,0.246977,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
80000.0,3.30926,0.920535,0.408007,0.69074,-0.920535,-0.408007,-0.243723,-0.326257,-0.0270449,0.243723,0.326257,0.0270449,-0.120419,0.276666,-0.119727,0.945844,-0.240149,0.309107,0.169796,0.904407,-0.192962,0.104454,0.308915,-0.231436,0.109539,0.249102,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
90000.0,3.28397,0.887268,0.405016,0.71603,-0.887268,-0.405016,-0.26202,-0.339012,-0.0327812,0.26202,0.339012,0.0327812,-0.134435,0.27854,-0.107154,0.944913,-0.253509,0.312892,0.178805,0.897697,-0.193712,0.104421,0.308456,-0.230653,0.10618,0.251274,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
100000.0,3.25687,0.852749,0.401453,0.743131,-0.852749,-0.401453,-0.279946,-0.351289,-0.0384712,0.279946,0.351289,0.0384712,-0.148432,0.28031,-0.094574,0.943637,-0.266815,0.316392,0.187827,0.890745,-0.194464,0.104355,0.308005,-0.22972,0.102887,0.253488,-0.590037,0.247635,0.947254,-0.520491,0.524925,0.999741,3.0,6.0,3.0,3.0,3.0,6.0
