c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
1.69774,0.791181,1.02024,3.53006,-2.19792,-0.0489387,0.266738,-0.0414139,0.0570307,-0.263409,0.0550104,-0.0271389,0.252871,0.156902,-0.81122,0.503349,-0.133564,-0.209044,-0.0644875,0.966593,-0.0260254,-0.165502,0.28962,-0.198355,-0.269403,0.376558,-0.327224,-0.999244,1.68141,-0.600939,-0.807763,1.12694,3.0,3.0,6.0,6.0,3.0,3.0
1.72473,0.786513,1.02575,3.5034,-2.19189,-0.0514636,0.273107,-0.0519387,0.0532452,-0.269778,0.0655352,-0.0233533,0.256578,0.15534,-0.80193,0.516667,-0.138304,-0.225148,-0.0459942,0.963361,-0.0264592,-0.163808,0.290543,-0.198376,-0.269311,0.376612,-0.327224,-0.999244,1.68141,-0.600939,-0.807763,1.12694,3.0,3.0,6.0,6.0,3.0,3.0
1.75235,0.780795,1.03089,3.47611,-2.18481,-0.0536085,0.279285,-0.0624226,0.0494324,-0.275955,0.076019,-0.0195405,0.260126,0.15377,-0.792418,0.52987,-0.142956,-0.241106,-0.0274683,0.959519,-0.0270177,-0.162132,0.29143,-0.198402,-0.269219,0.376664,-0.327224,-0.999244,1.68141,-0.600939,-0.807763,1.12694,3.0,3.0,6.0,6.0,3.0,3.0
1.78058,0.77403,1.03564,3.44822,-2.17669,-0.0553709,0.285266,-0.0728576,0.0455953,-0.281937,0.0864541,-0.0157034,0.263512,0.152188,-0.782688,0.542955,-0.147519,-0.256907,-0.00892154,0.955069,-0.0276983,-0.160481,0.292278,-0.198433,-0.269127,0.376714,-0.327224,-0.999244,1.68141,-0.600939,-0.807763,1.12694,3.0,3.0,6.0,6.0,3.0,3.0
1.8094,0.766225,1.04001,3.41973,-2.16752,-0.0567485,0.291048,-0.0832365,0.0417366,-0.287718,0.0968329,-0.0118447,0.266734,0.15059,-0.772743,0.555918,-0.151989,-0.27254,0.00963428,0.950015,-0.0284981,-0.158863,0.293084,-0.198469,-0.269035,0.37676,-0.327224,-0.999244,1.68141,-0.600939,-0.807763,1.12694,3.0,3.0,6.0,6.0,3.0,3.0
1.83879,0.757385,1.04399,3.39068,-2.15732,-0.0577392,0.296625,-0.0935518,0.037859,-0.293296,0.107148,-0.0079671,0.26979,0.148971,-0.762588,0.568754,-0.156364,-0.287997,0.0281874,0.944359,-0.0294137,-0.157284,0.293844,-0.19851,-0.268944,0.376804,-0.327224,-0.999244,1.68141,-0.600939,-0.807763,1.12694,3.0,3.0,6.0,6.0,3.0,3.0
1.86872,0.747517,1.04758,3.36108,-2.14609,-0.0583413,0.301995,-0.103796,0.0339652,-0.298665,0.117393,-0.00407332,0.272677,0.147327,-0.752226,0.581461,-0.160641,-0.303267,0.0467259,0.938105,-0.0304409,-0.155752,0.294555,-0.198555,-0.268853,0.376845,-0.327224,-0.999244,1.68141,-0.600939,-0.807763,1.12694,3.0,3.0,6.0,6.0,3.0,3.0
1.89918,0.736628,1.05078,3.33096,-2.13385,-0.0585534,0.307152,-0.113963,0.030058,-0.303823,0.127559,-0.000166116,0.275396,0.145655,-0.741663,0.594035,-0.164817,-0.318341,0.0652381,0.931256,-0.0315754,-0.154273,0.295213,-0.198605,-0.268764,0.376883,-0.327224,-0.999244,1.68141,-0.600939,-0.807763,1.12694,3.0,3.0,6.0,6.0,3.0,3.0
1.93014,0.724727,1.05359,3.30032,-2.12058,-0.0583742,0.312094,-0.124044,0.0261401,-0.308765,0.137641,0.00375174,0.277943,0.14395,-0.730902,0.606472,-0.168891,-0.333209,0.0837121,0.923818,-0.0328121,-0.152854,0.295816,-0.198658,-0.268675,0.376917,-0.327224,-0.999244,1.68141,-0.600939,-0.807763,1.12694,3.0,3.0,6.0,6.0,3.0,3.0
1.93603,0.753291,1.06205,3.29477,-2.14779,-0.0638469,0.00939539,0.364752,0.0949138,-0.00606596,-0.351156,-0.065022,0.286993,0.156526,-0.72581,0.605256,-0.165616,-0.343934,0.100947,0.918744,0.385682,0.025623,0.0455424,-0.0230568,-0.149462,0.386121,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
