timestep,c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
0.0,71.8893,90.9306,11.074,69.9266,89.1854,12.1818,-0.552505,0.640545,0.454138,-0.872459,-1.07656,-0.515536,0.319545,0.116859,-0.0395376,0.939506,-0.293689,-0.0289941,-0.134819,0.945901,-1.2304,-0.981012,-0.312891,-0.823184,0.256192,0.0611579,-3.62208,-3.15989,-0.665328,-4.90714,1.37171,-0.156182,3.0,3.0,6.0,6.0,3.0,3.0
10000.0,71.8318,90.9925,11.1207,69.8415,89.0799,12.1289,-0.593435,0.599678,0.47985,-0.831529,-1.03569,-0.541248,0.264299,0.064447,-0.0449908,0.961233,-0.333772,-0.0234954,-0.128106,0.933613,-1.23534,-0.936923,-0.274665,-0.817318,0.234023,0.0182098,-3.66883,-3.00164,-0.507559,-4.88513,1.26503,-0.271249,3.0,3.0,6.0,6.0,3.0,3.0
20000.0,71.771,91.051,11.1697,69.7598,88.9778,12.0738,-0.621589,0.571928,0.497576,-0.803374,-1.00794,-0.558974,0.206956,0.0137273,-0.0493494,0.977008,-0.373034,-0.0181163,-0.12317,0.919427,-1.24137,-0.908467,-0.256774,-0.816658,0.221482,-0.0138846,-3.72169,-2.87876,-0.424877,-4.89259,1.20131,-0.35727,3.0,3.0,6.0,6.0,3.0,3.0
30000.0,71.7078,91.1071,11.2201,69.6806,88.8781,12.0173,-0.642311,0.552088,0.509963,-0.782653,-0.988105,-0.571361,0.148022,-0.0358956,-0.053066,0.986907,-0.411623,-0.0126134,-0.119533,0.903393,-1.24595,-0.892755,-0.24952,-0.818017,0.214042,-0.0407999,-3.77092,-2.78843,-0.384262,-4.91094,1.16226,-0.429021,3.0,3.0,6.0,6.0,3.0,3.0
40000.0,71.6427,91.1616,11.2715,69.6032,88.78,11.9597,-0.659222,0.536826,0.518714,-0.765742,-0.972842,-0.580112,0.0879817,-0.0847679,-0.0563411,0.990908,-0.449514,-0.00686059,-0.116975,0.885555,-1.24953,-0.887007,-0.248369,-0.819213,0.208032,-0.0656693,-3.81665,-2.72408,-0.373919,-4.92664,1.1344,-0.494835,3.0,3.0,6.0,6.0,3.0,3.0
50000.0,71.576,91.2146,11.3237,69.5274,88.6834,11.9013,-0.674344,0.523933,0.524949,-0.75062,-0.959949,-0.586347,0.0272356,-0.133034,-0.0593109,0.98896,-0.48661,-0.000818444,-0.115425,0.86596,-1.25215,-0.888212,-0.250253,-0.819658,0.201621,-0.0896627,-3.85741,-2.67907,-0.385738,-4.93565,1.1115,-0.558426,3.0,3.0,6.0,6.0,3.0,3.0
60000.0,71.5079,91.2664,11.3764,69.453,88.588,11.8425,-0.687232,0.512976,0.528695,-0.737732,-0.948992,-0.590093,-0.0337292,-0.180707,-0.0620091,0.981001,-0.522786,0.00547624,-0.114825,0.844678,-1.25146,-0.895081,-0.25181,-0.819154,0.194246,-0.110648,-3.88512,-2.65219,-0.407504,-4.93585,1.09112,-0.61402,3.0,3.0,6.0,6.0,3.0,3.0
70000.0,71.4386,91.3172,11.4294,69.3797,88.4936,11.7834,-0.697001,0.504105,0.530436,-0.727963,-0.940121,-0.591834,-0.0943325,-0.227717,-0.0643761,0.967007,-0.557939,0.0119327,-0.114989,0.82179,-1.24708,-0.9059,-0.24983,-0.818114,0.186963,-0.12641,-3.89897,-2.63971,-0.425935,-4.92979,1.07545,-0.655705,3.0,3.0,6.0,6.0,3.0,3.0
80000.0,71.3686,91.3673,11.4825,69.3073,88.3999,11.7241,-0.703848,0.49719,0.531239,-0.721116,-0.933207,-0.592637,-0.15401,-0.273915,-0.0662621,0.947027,-0.592009,0.0184672,-0.11567,0.797373,-1.24095,-0.918357,-0.243277,-0.817652,0.181139,-0.137073,-3.90531,-2.63499,-0.436036,-4.92518,1.0679,-0.684493,3.0,3.0,6.0,6.0,3.0,3.0
90000.0,71.2979,91.4167,11.5356,69.2354,88.3069,11.6649,-0.708834,0.491532,0.531593,-0.71613,-0.927548,-0.592991,-0.212285,-0.319083,-0.0675244,0.921174,-0.62497,0.025009,-0.116645,0.77148,-1.23447,-0.930835,-0.232838,-0.817876,0.176172,-0.143878,-3.90757,-2.63398,-0.44066,-4.92299,1.06542,-0.704135,3.0,3.0,6.0,6.0,3.0,3.0
100000.0,71.2269,91.4656,11.5888,69.164,88.2144,11.6056,-0.712506,0.486887,0.53168,-0.712458,-0.922903,-0.593078,-0.268738,-0.362965,-0.068045,0.88961,-0.65679,0.0314861,-0.117765,0.744155,-1.22848,-0.942333,-0.219152,-0.818615,0.171558,-0.147892,-3.90757,-2.63464,-0.441569,-4.92248,1.06539,-0.717808,3.0,3.0,6.0,6.0,3.0,3.0
110000.0,71.1555,91.5141,11.642,69.0929,88.1222,11.5462,-0.714902,0.483655,0.531619,-0.710062,-0.919672,-0.593017,-0.322993,-0.405288,-0.0677354,0.852543,-0.687432,0.0378234,-0.118926,0.715446,-1.22333,-0.952144,-0.203352,-0.819938,0.167243,-0.149382,-3.90514,-2.63643,-0.441927,-4.92427,1.06687,-0.726391,3.0,3.0,6.0,6.0,3.0,3.0
120000.0,71.0839,91.5624,11.6951,69.022,88.0304,11.487,-0.716298,0.481614,0.531419,-0.708666,-0.91763,-0.592817,-0.374721,-0.445763,-0.0665388,0.810217,-0.716856,0.0439419,-0.120032,0.685404,-1.21963,-0.959909,-0.186114,-0.821218,0.162977,-0.148661,-3.9019,-2.63886,-0.442065,-4.9248,1.06786,-0.730573,3.0,3.0,6.0,6.0,3.0,3.0
130000.0,71.0122,91.6105,11.7483,68.9512,87.9387,11.4277,-0.717323,0.479925,0.531163,-0.70764,-0.915941,-0.592561,-0.423625,-0.484109,-0.0643996,0.762911,-0.745004,0.0497764,-0.121026,0.654098,-1.21767,-0.965285,-0.167789,-0.822394,0.158834,-0.146549,-3.8992,-2.64079,-0.441337,-4.92416,1.06799,-0.732759,3.0,3.0,6.0,6.0,3.0,3.0
