timestep,c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
0.0,-6.1451,-10.2285,31.5572,-5.69194,-9.32051,30.2143,-0.209018,0.530901,-0.512733,0.723908,1.36143,-0.170894,0.0835734,-0.145294,-0.190344,0.967303,-0.0862878,0.0966793,-0.0562251,0.989973,-0.0073357,-1.3415,-0.575775,-1.26542,0.0639951,0.302683,0.352002,-3.89734,-2.85546,-3.76716,0.215141,1.04794,3.0,3.0,6.0,3.0,3.0,6.0
10000.0,-6.16776,-10.1732,31.5033,-5.61778,-9.1866,30.1998,-0.292821,0.586493,-0.454193,0.807711,1.30584,-0.229434,0.0889541,-0.206693,-0.212207,0.950965,-0.149548,0.0923781,-0.0456111,0.983372,0.0468851,-0.941407,-0.519691,-1.07715,-0.181323,0.419172,0.671368,-2.72388,-2.66606,-3.15463,-0.431631,1.62643,3.0,3.0,6.0,3.0,3.0,6.0
20000.0,-6.21029,-10.1076,31.4807,-5.52377,-9.06291,30.154,-0.505937,0.709405,-0.0882929,1.02083,1.18293,-0.595334,0.106283,-0.22907,-0.231584,0.939468,-0.183788,0.0580719,-0.0236583,0.980964,0.521661,-0.250883,-0.292634,-0.383936,-0.827028,0.732761,2.25859,-0.617292,-2.13958,-1.02846,-2.12114,3.12944,3.0,3.0,6.0,3.0,3.0,6.0
30000.0,-6.25871,-10.0341,31.4676,-5.42386,-8.94721,30.0988,-0.445176,0.758747,-0.20432,0.960066,1.13359,-0.479307,0.128781,-0.236742,-0.250508,0.929846,-0.202891,0.00979676,0.00391217,0.979144,0.438185,-0.287121,-0.352471,-0.41533,-0.799976,0.723694,2.05319,-0.684481,-2.30811,-1.22811,-1.99606,3.10349,3.0,3.0,6.0,3.0,3.0,6.0
40000.0,-6.29849,-9.95611,31.4387,-5.33259,-8.83597,30.0593,-0.35081,0.800301,-0.369747,0.8657,1.09203,-0.31388,0.14556,-0.24984,-0.271118,0.918089,-0.227034,-0.0335497,0.0300837,0.972844,0.313386,-0.366421,-0.440391,-0.566709,-0.692081,0.659559,1.72564,-0.906719,-2.53777,-1.77839,-1.64027,2.86572,3.0,3.0,6.0,3.0,3.0,6.0
50000.0,-6.32896,-9.87421,31.3943,-5.25063,-8.72864,30.0353,-0.258615,0.836974,-0.514535,0.773505,1.05536,-0.169092,0.156592,-0.267703,-0.29339,0.904288,-0.257741,-0.0710649,0.0541971,0.962072,0.202699,-0.411277,-0.521543,-0.712212,-0.607409,0.588498,1.44815,-1.0499,-2.7424,-2.29724,-1.34607,2.60136,3.0,3.0,6.0,3.0,3.0,6.0
60000.0,-6.35012,-9.78883,31.3362,-5.17798,-8.62478,30.025,-0.163535,0.870006,-0.64646,0.678424,1.02233,-0.0371669,0.161852,-0.288876,-0.317302,0.888636,-0.294504,-0.103494,0.07601,0.946984,0.0924479,-0.429206,-0.606148,-0.849842,-0.543834,0.510328,1.17455,-1.13569,-2.95532,-2.78119,-1.10997,2.30562,3.0,3.0,6.0,3.0,3.0,6.0
70000.0,-6.36131,-9.70031,31.2651,-5.1153,-8.52408,30.0278,-0.0577733,0.900055,-0.776738,0.572663,0.992277,0.093111,0.160465,-0.312514,-0.343128,0.871119,-0.337051,-0.131159,0.0951398,0.927439,-0.0330456,-0.423018,-0.708952,-0.988703,-0.494048,0.419346,0.852888,-1.17437,-3.22225,-3.2585,-0.911247,1.96034,3.0,3.0,6.0,3.0,3.0,6.0
80000.0,-6.36114,-9.60897,31.1807,-5.06398,-8.42618,30.0439,0.0630338,0.925776,-0.912123,0.451856,0.966556,0.228496,0.150465,-0.338058,-0.371537,0.851491,-0.385422,-0.153961,0.111032,0.903005,-0.188971,-0.384968,-0.847926,-1.13165,-0.454978,0.314805,0.431082,-1.14759,-3.59787,-3.74049,-0.736023,1.56725,3.0,3.0,6.0,3.0,3.0,6.0
90000.0,-6.34974,-9.51497,31.0841,-5.02389,-8.33095,30.072,0.13909,0.962887,-0.98534,0.3758,0.929445,0.301713,0.130461,-0.36462,-0.4029,0.829279,-0.437592,-0.17279,0.124356,0.873609,-0.283908,-0.354476,-0.941227,-1.13892,-0.444208,0.32472,0.180772,-1.17605,-3.84192,-3.8212,-0.622084,1.52294,3.0,3.0,6.0,3.0,3.0,6.0
100000.0,-6.34723,-9.41009,31.005,-4.97492,-8.2466,30.0828,-0.133623,1.15953,-0.51308,0.648513,0.732803,-0.170548,0.129471,-0.393636,-0.426442,0.804012,-0.465303,-0.205488,0.148815,0.848011,0.339285,-0.986802,-0.29789,-0.142906,-0.575007,1.16489,2.29724,-3.17989,-2.02363,-0.740044,-1.25963,3.80315,3.0,3.0,6.0,3.0,3.0,6.0
110000.0,-6.36212,-9.289,30.9606,-4.90854,-8.17845,30.0588,-0.0974698,1.23473,-0.462741,0.61236,0.657604,-0.220886,0.165502,-0.43228,-0.435236,0.772213,-0.45259,-0.260036,0.190106,0.831507,0.356502,-1.21374,-0.293816,0.0836435,-0.546697,1.30165,2.5397,-3.85982,-1.91657,-0.0834406,-1.27847,4.15666,3.0,3.0,6.0,3.0,3.0,6.0
120000.0,-6.36249,-9.16489,30.9082,-4.85668,-8.11332,30.0429,0.0928816,1.24519,-0.584082,0.422008,0.647144,-0.0995448,0.192715,-0.475697,-0.446474,0.732963,-0.440423,-0.30833,0.227019,0.812049,0.194517,-1.20317,-0.558098,-0.0506382,-0.507976,1.06542,2.15986,-3.86745,-2.53213,-0.557154,-1.19123,3.44027,3.0,3.0,6.0,3.0,3.0,6.0
130000.0,-6.34335,-9.04028,30.8444,-4.82433,-8.04871,30.0383,0.291487,1.24574,-0.689111,0.223403,0.646591,0.00548391,0.207326,-0.522338,-0.462055,0.686064,-0.435768,-0.347192,0.25562,0.790077,0.0692595,-1.19885,-0.823212,-0.181293,-0.484647,0.802504,1.85304,-3.95561,-3.13686,-0.9984,-1.1528,2.6309,3.0,3.0,6.0,3.0,3.0,6.0
140000.0,-6.30377,-8.91601,30.7708,-4.81242,-7.98375,30.0436,0.499342,1.23929,-0.78135,0.0155476,0.653044,0.097723,0.209595,-0.571273,-0.48179,0.630551,-0.439585,-0.377468,0.275485,0.767067,-0.0240716,-1.16667,-1.10943,-0.303744,-0.502738,0.543469,1.5866,-4.01462,-3.79484,-1.3881,-1.2374,1.82118,3.0,3.0,6.0,3.0,3.0,6.0
150000.0,-6.24875,-8.79092,30.6901,-4.81595,-7.9196,30.0559,0.524706,1.28939,-0.809169,-0.00981647,0.602943,0.125542,0.198362,-0.613535,-0.50786,0.571231,-0.451403,-0.408407,0.289067,0.738837,0.121951,-0.652702,-1.21828,-0.416421,-0.892662,0.725179,1.92013,-2.64111,-3.94497,-1.67213,-2.4672,2.30217,3.0,3.0,6.0,3.0,3.0,6.0
160000.0,-6.20513,-8.65397,30.611,-4.80808,-7.86732,30.0666,0.415267,1.42853,-0.783737,0.0996224,0.463805,0.10011,0.178674,-0.62037,-0.547238,0.532679,-0.463748,-0.469897,0.308891,0.684632,0.510295,0.0684524,-1.02336,-0.536041,-1.46929,1.23066,3.00554,-0.635953,-3.35664,-2.02619,-4.25291,3.74965,3.0,3.0,6.0,3.0,3.0,6.0
170000.0,-6.17113,-8.50759,30.5355,-4.79059,-7.82446,30.0738,0.108868,1.51188,-0.717184,0.406022,0.380452,0.0335571,0.172309,-0.607903,-0.584258,0.509319,-0.474532,-0.534328,0.327488,0.618113,0.71897,-0.0926618,-0.0279846,-0.509526,-1.11222,1.06991,3.74515,-1.31314,-0.474013,-2.13717,-3.18837,3.19634,3.0,3.0,6.0,3.0,3.0,6.0
180000.0,-6.18567,-8.35226,30.4612,-4.72456,-7.79056,30.0798,-0.2274,1.56992,-0.779686,0.74229,0.322416,0.0960594,0.217639,-0.587919,-0.587469,0.511726,-0.471084,-0.567367,0.354568,0.574853,0.692543,-0.434119,0.893259,-0.414742,-0.268848,0.872531,3.63604,-2.15302,2.29088,-2.11766,-0.683223,2.53998,3.0,3.0,6.0,3.0,3.0,6.0
190000.0,-6.19771,-8.19592,30.3811,-4.66104,-7.75767,30.0914,0.0053974,1.55618,-0.814908,0.509492,0.336153,0.131281,0.271044,-0.570951,-0.580475,0.513418,-0.463943,-0.58637,0.383415,0.542143,0.6311,-0.463589,0.655781,-0.424568,-0.319499,0.797753,3.55546,-2.10019,1.59633,-2.19487,-0.908887,2.2835,3.0,3.0,6.0,3.0,3.0,6.0
200000.0,-6.18451,-8.04089,30.2988,-4.62274,-7.72347,30.1053,0.253274,1.54467,-0.828746,0.261616,0.34766,0.145119,0.31393,-0.556763,-0.578302,0.506981,-0.459232,-0.606759,0.408046,0.504428,0.605372,-0.404005,0.383044,-0.43606,-0.476397,0.81346,3.55,-1.82069,0.807214,-2.24651,-1.45949,2.29006,3.0,3.0,6.0,3.0,3.0,6.0
210000.0,-6.14911,-7.88726,30.2158,-4.60665,-7.68786,30.12,0.430497,1.52323,-0.828727,0.0843926,0.369105,0.1451,0.348063,-0.543989,-0.581298,0.494995,-0.455904,-0.628894,0.429217,0.460887,0.606026,-0.375818,0.245418,-0.44914,-0.555275,0.775972,3.62643,-1.67936,0.418266,-2.34421,-1.78862,2.11573,3.0,3.0,6.0,3.0,3.0,6.0
220000.0,-6.1094,-7.73792,30.134,-4.59488,-7.64797,30.1334,0.306525,1.45908,-0.801486,0.208365,0.43325,0.117859,0.388207,-0.530342,-0.579383,0.482024,-0.458954,-0.641508,0.445135,0.423891,0.650078,-0.671624,0.657589,-0.461599,-0.324358,0.197827,3.9591,-2.51712,1.68837,-2.67162,-1.219,0.263358,3.0,3.0,6.0,3.0,3.0,6.0
230000.0,-6.08204,-7.59382,30.0558,-4.57074,-7.60283,30.1433,0.309593,1.43239,-0.765307,0.205297,0.459937,0.0816797,0.448921,-0.513676,-0.559975,0.470145,-0.475175,-0.63565,0.453568,0.405503,0.673514,-0.899222,0.8687,-0.472341,-0.252338,-0.11684,4.21352,-3.03842,2.45212,-2.90986,-1.05864,-0.760075,3.0,3.0,6.0,3.0,3.0,6.0
240000.0,-6.04034,-7.45065,29.9809,-4.56096,-7.55677,30.1499,0.537324,1.43222,-0.732199,-0.0224338,0.460111,0.0485721,0.509369,-0.49651,-0.537079,0.453394,-0.493979,-0.629228,0.459902,0.385419,0.681571,-0.871204,0.727658,-0.495154,-0.38046,0.00931254,4.29096,-2.77451,2.20991,-3.00127,-1.46085,-0.423684,3.0,3.0,6.0,3.0,3.0,6.0
250000.0,-5.97306,-7.30728,29.9099,-4.57675,-7.51091,30.1524,0.814758,1.43537,-0.682125,-0.299868,0.456962,-0.00150246,0.56275,-0.479475,-0.516797,0.431668,-0.510422,-0.628314,0.466853,0.356005,0.69598,-0.815267,0.589466,-0.537816,-0.501983,0.215432,4.34531,-2.46788,1.97964,-3.11595,-1.86897,0.141179,3.0,3.0,6.0,3.0,3.0,6.0
260000.0,-5.87689,-7.16372,29.8455,-4.62143,-7.46523,30.1485,1.09397,1.43202,-0.601566,-0.579085,0.460312,-0.0820611,0.611691,-0.46315,-0.49746,0.404795,-0.522036,-0.631636,0.477292,0.317343,0.731406,-0.938933,0.506298,-0.633324,-0.454771,0.405951,4.4864,-2.73658,1.93221,-3.39391,-1.81558,0.64805,3.0,3.0,6.0,3.0,3.0,6.0
270000.0,-5.76878,-7.0241,29.7874,-4.67805,-7.41562,30.1382,0.935723,1.32836,-0.611672,-0.420833,0.563969,-0.0719551,0.670805,-0.453619,-0.462408,0.36115,-0.527659,-0.622828,0.499772,0.289636,0.838573,-1.7946,0.575905,-0.678647,0.294631,-0.209758,4.9551,-5.21654,2.52925,-3.57927,0.333278,-1.20733,3.0,3.0,6.0,3.0,3.0,6.0
280000.0,-5.71792,-6.897,29.7028,-4.67742,-7.35349,30.1545,0.211567,1.25865,-1.03135,0.303323,0.633678,0.347723,0.731913,-0.425257,-0.419573,0.327746,-0.570144,-0.583486,0.488065,0.310277,0.645754,-0.544571,1.27372,0.029461,-0.667144,-1.92555,4.7803,-1.24237,5.20007,-1.99039,-2.48966,-6.52577,3.0,3.0,6.0,3.0,3.0,6.0
290000.0,-5.68375,-6.77337,29.6053,-4.66011,-7.28788,30.1836,0.501476,1.20231,-0.895455,0.0134138,0.690018,0.211828,0.776994,-0.369789,-0.394564,0.322265,-0.642595,-0.54159,0.430223,0.329637,0.623322,-0.382768,1.31265,0.000206707,-1.02878,-1.76222,4.63402,-0.469908,5.49911,-2.10224,-3.18425,-6.23989,3.0,3.0,6.0,3.0,3.0,6.0
300000.0,-5.62528,-6.65806,29.5194,-4.66709,-7.21396,30.2011,0.593802,1.10901,-0.875508,-0.0789127,0.783324,0.191881,0.814503,-0.315691,-0.375064,0.310244,-0.708512,-0.50498,0.366634,0.329522,0.900429,-0.269323,0.845927,-0.187165,-1.24024,-1.38845,5.36218,0.0777587,4.27294,-2.48768,-3.50229,-5.32692,3.0,3.0,6.0,3.0,3.0,6.0
310000.0,-5.57303,-6.54727,29.4244,-4.66785,-7.13552,30.2278,0.478614,1.12104,-0.995848,0.0362756,0.771287,0.312221,0.842313,-0.279464,-0.376352,0.266022,-0.761998,-0.479436,0.313128,0.302409,1.38048,-0.240426,0.105787,-0.579896,-1.20721,-0.75943,6.68721,0.0521552,2.18817,-3.40274,-3.27343,-3.62447,3.0,3.0,6.0,3.0,3.0,6.0
320000.0,-5.51889,-6.43547,29.3289,-4.6705,-7.05808,30.2549,0.642892,1.10062,-0.877979,-0.128002,0.791717,0.194352,0.864294,-0.253755,-0.384022,0.20281,-0.802103,-0.461472,0.277456,0.258249,1.40038,-0.23236,0.0585889,-0.763353,-1.02393,-0.502125,6.67169,-0.195458,2.18249,-3.76129,-2.73121,-3.04048,3.0,3.0,6.0,3.0,3.0,6.0
330000.0,-5.44173,-6.32862,29.2531,-4.69616,-6.9757,30.2624,0.900191,1.03351,-0.627323,-0.385302,0.85882,-0.0563046,0.880584,-0.223006,-0.391787,0.14609,-0.834961,-0.443723,0.250013,0.208432,1.23535,-0.0634976,0.24743,-0.869787,-0.977343,-0.412593,6.17218,0.0790835,2.86603,-3.92129,-2.65724,-2.95392,3.0,3.0,6.0,3.0,3.0,6.0
