timestep,body_id,id,x,y,z
0.0,1.0,1.0,18.8657,-8.87395,10.9821
0.0,1.0,2.0,18.2959,-8.30641,11.5765
0.0,1.0,3.0,17.3195,-8.50185,11.6683
0.0,1.0,4.0,16.9129,-9.26484,11.1658
0.0,1.0,5.0,17.4826,-9.83238,10.5715
0.0,1.0,6.0,18.4591,-9.63694,10.4796
0.0,1.0,7.0,17.8893,-9.0694,11.074
0.0,2.0,8.0,16.1481,-9.84777,12.309
0.0,2.0,9.0,15.8989,-10.4115,13.0965
0.0,2.0,10.0,15.6774,-11.3783,12.9693
0.0,2.0,11.0,15.7051,-11.7814,12.0546
0.0,2.0,12.0,15.9543,-11.2177,11.2671
0.0,2.0,13.0,16.1758,-10.2509,11.3943
0.0,2.0,14.0,15.9266,-10.8146,12.1818
10000.0,1.0,1.0,18.8188,-8.8476,11.1012
10000.0,1.0,2.0,18.216,-8.19765,11.5641
10000.0,1.0,3.0,17.2291,-8.35755,11.5836
10000.0,1.0,4.0,16.8449,-9.1674,11.1403
10000.0,1.0,5.0,17.4477,-9.81735,10.6774
10000.0,1.0,6.0,18.4346,-9.65745,10.6579
10000.0,1.0,7.0,17.8318,-9.0075,11.1207
10000.0,2.0,8.0,16.0613,-9.94547,12.1711
10000.0,2.0,9.0,15.834,-10.4435,13.0079
10000.0,2.0,10.0,15.6142,-11.4181,12.9657
10000.0,2.0,11.0,15.6216,-11.8947,12.0867
10000.0,2.0,12.0,15.8489,-11.3967,11.2498
10000.0,2.0,13.0,16.0688,-10.4221,11.292
10000.0,2.0,14.0,15.8415,-10.9201,12.1289
20000.0,1.0,1.0,18.7603,-8.81316,11.2231
20000.0,1.0,2.0,18.1394,-8.09834,11.5447
20000.0,1.0,3.0,17.1501,-8.23419,11.4914
20000.0,1.0,4.0,16.7817,-9.08486,11.1163
20000.0,1.0,5.0,17.4027,-9.79967,10.7946
20000.0,1.0,6.0,18.3919,-9.66382,10.848
20000.0,1.0,7.0,17.771,-8.94901,11.1697
20000.0,2.0,8.0,15.9795,-10.0475,12.0314
20000.0,2.0,9.0,15.7718,-10.4754,12.911
20000.0,2.0,10.0,15.5521,-11.4501,12.9535
20000.0,2.0,11.0,15.5401,-11.9968,12.1162
20000.0,2.0,12.0,15.7478,-11.5689,11.2366
20000.0,2.0,13.0,15.9675,-10.5943,11.1942
20000.0,2.0,14.0,15.7598,-11.0222,12.0738
30000.0,1.0,1.0,18.6922,-8.77077,11.3464
30000.0,1.0,2.0,18.0676,-8.00934,11.5199
30000.0,1.0,3.0,17.0832,-8.13144,11.3936
30000.0,1.0,4.0,16.7233,-9.01496,11.0938
30000.0,1.0,5.0,17.3479,-9.77638,10.9202
30000.0,1.0,6.0,18.3324,-9.65428,11.0465
30000.0,1.0,7.0,17.7078,-8.89286,11.2201
30000.0,2.0,8.0,15.9011,-10.1548,11.8906
30000.0,2.0,9.0,15.7119,-10.5087,12.8066
30000.0,2.0,10.0,15.4913,-11.4759,12.9332
30000.0,2.0,11.0,15.46,-12.0891,12.1439
30000.0,2.0,12.0,15.6493,-11.7351,11.2279
30000.0,2.0,13.0,15.8698,-10.768,11.1013
30000.0,2.0,14.0,15.6806,-11.1219,12.0173
40000.0,1.0,1.0,18.6156,-8.72041,11.47
40000.0,1.0,2.0,18.0017,-7.93138,11.4915
40000.0,1.0,3.0,17.0287,-8.04942,11.293
40000.0,1.0,4.0,16.6697,-8.95648,11.0731
40000.0,1.0,5.0,17.2837,-9.7455,11.0516
40000.0,1.0,6.0,18.2567,-9.62747,11.2501
40000.0,1.0,7.0,17.6427,-8.83844,11.2715
40000.0,2.0,8.0,15.8253,-10.2678,11.7498
40000.0,2.0,9.0,15.654,-10.5445,12.6953
40000.0,2.0,10.0,15.4319,-11.4967,12.9052
40000.0,2.0,11.0,15.3811,-12.1721,12.1696
40000.0,2.0,12.0,15.5523,-11.8954,11.224
40000.0,2.0,13.0,15.7744,-10.9432,11.0141
40000.0,2.0,14.0,15.6032,-11.22,11.9597
50000.0,1.0,1.0,18.5312,-8.66216,11.5928
50000.0,1.0,2.0,17.9419,-7.865,11.4613
50000.0,1.0,3.0,16.9867,-7.98826,11.1923
50000.0,1.0,4.0,16.6208,-8.90868,11.0547
50000.0,1.0,5.0,17.2101,-9.70584,11.1861
50000.0,1.0,6.0,18.1653,-9.58258,11.4552
50000.0,1.0,7.0,17.576,-8.78542,11.3237
50000.0,2.0,8.0,15.7517,-10.3867,11.6097
50000.0,2.0,9.0,15.5982,-10.5837,12.578
50000.0,2.0,10.0,15.3739,-11.5136,12.8696
50000.0,2.0,11.0,15.3031,-12.2464,12.193
50000.0,2.0,12.0,15.4565,-12.0494,11.2246
50000.0,2.0,13.0,15.6808,-11.1196,10.933
50000.0,2.0,14.0,15.5274,-11.3166,11.9013
60000.0,1.0,1.0,18.4393,-8.59607,11.7134
60000.0,1.0,2.0,17.8884,-7.81047,11.4317
60000.0,1.0,3.0,16.957,-7.948,11.0948
60000.0,1.0,4.0,16.5764,-8.87112,11.0395
60000.0,1.0,5.0,17.1274,-9.65672,11.3212
60000.0,1.0,6.0,18.0588,-9.51919,11.6581
60000.0,1.0,7.0,17.5079,-8.7336,11.3764
60000.0,2.0,8.0,15.6799,-10.5116,11.4713
60000.0,2.0,9.0,15.5442,-10.6271,12.4553
60000.0,2.0,10.0,15.3173,-11.5275,12.8265
60000.0,2.0,11.0,15.226,-12.3124,12.2136
60000.0,2.0,12.0,15.3617,-12.1969,11.2296
60000.0,2.0,13.0,15.5887,-11.2965,10.8585
60000.0,2.0,14.0,15.453,-11.412,11.8425
70000.0,1.0,1.0,18.3405,-8.52213,11.8304
70000.0,1.0,2.0,17.8409,-7.76757,11.4049
70000.0,1.0,3.0,16.939,-7.9282,11.004
70000.0,1.0,4.0,16.5367,-8.84339,11.0285
70000.0,1.0,5.0,17.0364,-9.59795,11.4539
70000.0,1.0,6.0,17.9383,-9.43732,11.8549
70000.0,1.0,7.0,17.4386,-8.68276,11.4294
70000.0,2.0,8.0,15.6094,-10.6423,11.3356
70000.0,2.0,9.0,15.4916,-10.6753,12.3281
70000.0,2.0,10.0,15.262,-11.5395,12.7759
70000.0,2.0,11.0,15.1501,-12.3706,12.2311
70000.0,2.0,12.0,15.2678,-12.3375,11.2386
70000.0,2.0,13.0,15.4974,-11.4734,10.7909
70000.0,2.0,14.0,15.3797,-11.5064,11.7834
80000.0,1.0,1.0,18.2355,-8.44032,11.9423
80000.0,1.0,2.0,17.7989,-7.73554,11.3831
80000.0,1.0,3.0,16.932,-7.92793,10.9233
80000.0,1.0,4.0,16.5016,-8.82509,11.0227
80000.0,1.0,5.0,16.9382,-9.52987,11.5819
80000.0,1.0,6.0,17.8051,-9.33748,12.0417
80000.0,1.0,7.0,17.3686,-8.63271,11.4825
80000.0,2.0,8.0,15.5392,-10.7786,11.2032
80000.0,2.0,9.0,15.4398,-10.729,12.197
80000.0,2.0,10.0,15.208,-11.5504,12.718
80000.0,2.0,11.0,15.0754,-12.4216,12.2451
80000.0,2.0,12.0,15.1747,-12.4712,11.2513
80000.0,2.0,13.0,15.4066,-11.6497,10.7303
80000.0,2.0,14.0,15.3073,-11.6001,11.7241
90000.0,1.0,1.0,18.1249,-8.35089,12.0476
90000.0,1.0,2.0,17.7618,-7.71336,11.3681
90000.0,1.0,3.0,16.9348,-7.94575,10.8562
90000.0,1.0,4.0,16.4709,-8.81567,11.0237
90000.0,1.0,5.0,16.8341,-9.4532,11.7032
90000.0,1.0,6.0,17.6611,-9.22081,12.2151
90000.0,1.0,7.0,17.2979,-8.58328,11.5356
90000.0,2.0,8.0,15.4686,-10.9204,11.0745
90000.0,2.0,9.0,15.3883,-10.7884,12.0625
90000.0,2.0,10.0,15.1551,-11.5611,12.6528
90000.0,2.0,11.0,15.0023,-12.4659,12.2552
90000.0,2.0,12.0,15.0826,-12.5979,11.2672
