timestep,c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
0.0,34.0994,-34.8803,9.39504,34.3593,-35.8841,9.7466,0.546511,0.230758,0.289194,0.186582,0.379433,-0.0881774,-0.131237,0.144217,-0.172495,0.965517,-0.178319,-0.269506,-0.0956477,0.941499,-0.314408,0.0360273,0.146356,0.345294,-0.0529862,0.176915,-1.03583,-0.176114,0.534165,1.03294,-0.168744,0.533775,3.0,6.0,3.0,3.0,6.0,3.0
100.0,34.0999,-34.8801,9.39533,34.3595,-35.8837,9.74652,0.548292,0.233329,0.28738,0.184801,0.376863,-0.0863631,-0.131402,0.144198,-0.172443,0.965507,-0.178131,-0.26953,-0.0956153,0.941531,-0.310049,0.0375259,0.151436,0.342863,-0.0525043,0.17774,-1.02173,-0.168603,0.548491,1.02526,-0.168575,0.53664,3.0,6.0,3.0,3.0,6.0,3.0
200.0,34.1005,-34.8799,9.39561,34.3597,-35.8833,9.74643,0.550055,0.235936,0.285557,0.183038,0.374255,-0.084541,-0.131565,0.14418,-0.172389,0.965497,-0.177943,-0.269554,-0.0955821,0.941563,-0.305579,0.0389991,0.156517,0.340311,-0.0520065,0.178539,-1.00729,-0.161149,0.562811,1.01722,-0.168389,0.539436,3.0,6.0,3.0,3.0,6.0,3.0
300.0,34.101,-34.8796,9.3959,34.3599,-35.883,9.74635,0.551798,0.238579,0.283728,0.181295,0.371612,-0.0827115,-0.131726,0.144162,-0.172331,0.965488,-0.177757,-0.269578,-0.0955482,0.941595,-0.300998,0.0404467,0.161597,0.337638,-0.0514933,0.179312,-0.992511,-0.153754,0.577122,1.0088,-0.168188,0.542164,3.0,6.0,3.0,3.0,6.0,3.0
400.0,34.1016,-34.8794,9.39618,34.36,-35.8826,9.74627,0.553522,0.241258,0.281891,0.179571,0.368933,-0.0808749,-0.131886,0.144145,-0.172271,0.96548,-0.177572,-0.269602,-0.0955134,0.941626,-0.296307,0.0418686,0.166677,0.334845,-0.0509651,0.18006,-0.977395,-0.146417,0.591419,1.00001,-0.167974,0.544822,3.0,6.0,3.0,3.0,6.0,3.0
500.0,34.1021,-34.8791,9.39646,34.3602,-35.8822,9.74619,0.555225,0.243971,0.280048,0.177868,0.36622,-0.0790317,-0.132044,0.144129,-0.172207,0.965472,-0.177388,-0.269626,-0.0954779,0.941658,-0.291507,0.0432646,0.171753,0.331933,-0.0504224,0.180781,-0.961944,-0.139139,0.605696,0.990858,-0.167748,0.547411,3.0,6.0,3.0,3.0,6.0,3.0
600.0,34.1027,-34.8789,9.39674,34.3604,-35.8819,9.74611,0.556908,0.246719,0.278199,0.176185,0.363472,-0.0771822,-0.132199,0.144114,-0.172141,0.965465,-0.177206,-0.26965,-0.0954417,0.941689,-0.286598,0.0446346,0.176825,0.328902,-0.0498656,0.181476,-0.946162,-0.131919,0.619951,0.981338,-0.167512,0.549929,3.0,6.0,3.0,3.0,6.0,3.0
700.0,34.1033,-34.8787,9.39702,34.3606,-35.8815,9.74603,0.558569,0.249499,0.276343,0.174524,0.360692,-0.0753268,-0.132353,0.1441,-0.172072,0.965458,-0.177025,-0.269674,-0.0954046,0.94172,-0.281583,0.0459785,0.181891,0.325753,-0.0492952,0.182144,-0.93005,-0.124759,0.634176,0.971455,-0.167267,0.552377,3.0,6.0,3.0,3.0,6.0,3.0
800.0,34.1038,-34.8784,9.39729,34.3607,-35.8812,9.74596,0.560208,0.252312,0.274482,0.172885,0.357879,-0.0734659,-0.132505,0.144086,-0.172,0.965452,-0.176845,-0.269698,-0.0953667,0.941751,-0.27646,0.0472961,0.186949,0.322486,-0.0487116,0.182785,-0.913611,-0.117658,0.648369,0.961211,-0.167017,0.554753,3.0,6.0,3.0,3.0,6.0,3.0
900.0,34.1044,-34.8782,9.39757,34.3609,-35.8808,9.74589,0.561825,0.255157,0.272616,0.171268,0.355034,-0.0715998,-0.132655,0.144073,-0.171925,0.965447,-0.176667,-0.269721,-0.095328,0.941781,-0.271233,0.0485875,0.191997,0.319103,-0.0481153,0.1834,-0.89685,-0.110616,0.662524,0.950609,-0.166762,0.557058,3.0,6.0,3.0,3.0,6.0,3.0
1000.0,34.1049,-34.8779,9.39784,34.3611,-35.8804,9.74581,0.563419,0.258032,0.270746,0.169674,0.35216,-0.0697291,-0.132803,0.144061,-0.171847,0.965442,-0.176491,-0.269745,-0.0952885,0.941811,-0.265901,0.0498525,0.197035,0.315605,-0.0475068,0.183987,-0.879769,-0.103633,0.676636,0.93965,-0.166503,0.559291,3.0,6.0,3.0,3.0,6.0,3.0
1100.0,34.1055,-34.8776,9.39811,34.3613,-35.8801,9.74575,0.564989,0.260936,0.268871,0.168104,0.349255,-0.0678541,-0.132949,0.144049,-0.171767,0.965438,-0.176316,-0.269768,-0.0952483,0.941842,-0.260466,0.0510911,0.202061,0.311992,-0.0468866,0.184547,-0.862372,-0.0967088,0.6907,0.92834,-0.166244,0.561452,3.0,6.0,3.0,3.0,6.0,3.0
1200.0,34.1061,-34.8774,9.39838,34.3614,-35.8797,9.74568,0.566536,0.263869,0.266992,0.166557,0.346322,-0.0659753,-0.133093,0.144039,-0.171683,0.965435,-0.176143,-0.269792,-0.0952072,0.941871,-0.254929,0.0523032,0.207072,0.308267,-0.0462551,0.18508,-0.844663,-0.0898444,0.704713,0.91668,-0.165986,0.56354,3.0,6.0,3.0,3.0,6.0,3.0
1300.0,34.1066,-34.8771,9.39864,34.3616,-35.8794,9.74561,0.568058,0.26683,0.26511,0.165035,0.343361,-0.0640932,-0.133234,0.144029,-0.171596,0.965432,-0.175971,-0.269815,-0.0951653,0.941901,-0.249292,0.0534887,0.212068,0.304429,-0.045613,0.185586,-0.826647,-0.0830394,0.718668,0.904674,-0.165729,0.565555,3.0,6.0,3.0,3.0,6.0,3.0
1400.0,34.1072,-34.8768,9.39891,34.3618,-35.8791,9.74555,0.569556,0.269818,0.263225,0.163537,0.340373,-0.0622081,-0.133373,0.144019,-0.171507,0.96543,-0.175802,-0.269839,-0.0951225,0.94193,-0.243556,0.0546477,0.217046,0.30048,-0.0449606,0.186064,-0.808327,-0.0762938,0.732561,0.892328,-0.165477,0.567498,3.0,6.0,3.0,3.0,6.0,3.0
1500.0,34.1078,-34.8766,9.39917,34.3619,-35.8787,9.74549,0.571029,0.272831,0.261337,0.162064,0.33736,-0.0603205,-0.13351,0.144011,-0.171415,0.965429,-0.175634,-0.269862,-0.095079,0.941959,-0.237723,0.0557801,0.222006,0.296423,-0.0442986,0.186515,-0.789709,-0.0696077,0.746387,0.879643,-0.165231,0.569368,3.0,6.0,3.0,3.0,6.0,3.0
1600.0,34.1084,-34.8763,9.39943,34.3621,-35.8784,9.74543,0.572476,0.275869,0.259447,0.160617,0.334322,-0.0584309,-0.133644,0.144003,-0.171319,0.965428,-0.175468,-0.269885,-0.0950346,0.941988,-0.231795,0.0568859,0.226945,0.292257,-0.0436274,0.186938,-0.770798,-0.062981,0.760141,0.866627,-0.164992,0.571164,3.0,6.0,3.0,3.0,6.0,3.0
1700.0,34.1089,-34.876,9.39969,34.3622,-35.8781,9.74537,0.573897,0.27893,0.257556,0.159196,0.331261,-0.0565398,-0.133776,0.143996,-0.171221,0.965429,-0.175304,-0.269908,-0.0949894,0.942017,-0.225772,0.0579652,0.231862,0.287986,-0.0429475,0.187333,-0.751598,-0.0564139,0.773819,0.853282,-0.164763,0.572888,3.0,6.0,3.0,3.0,6.0,3.0
1800.0,34.1095,-34.8757,9.39994,34.3624,-35.8777,9.74532,0.575292,0.282013,0.255664,0.157801,0.328178,-0.0546476,-0.133905,0.143989,-0.17112,0.96543,-0.175142,-0.269931,-0.0949434,0.942045,-0.219657,0.0590179,0.236755,0.28361,-0.0422596,0.187701,-0.732116,-0.0499063,0.787415,0.839613,-0.164544,0.574538,3.0,6.0,3.0,3.0,6.0,3.0
1900.0,34.1101,-34.8755,9.4002,34.3626,-35.8774,9.74526,0.57666,0.285117,0.253771,0.156433,0.325074,-0.0527549,-0.134032,0.143983,-0.171017,0.965431,-0.174982,-0.269954,-0.0948965,0.942073,-0.213452,0.0600441,0.241623,0.279131,-0.0415641,0.188042,-0.712357,-0.0434584,0.800925,0.825628,-0.164338,0.576115,3.0,6.0,3.0,3.0,6.0,3.0
2000.0,34.1107,-34.8752,9.40045,34.3627,-35.8771,9.74521,0.578002,0.288241,0.251879,0.155091,0.32195,-0.0508621,-0.134156,0.143978,-0.17091,0.965434,-0.174824,-0.269976,-0.0948489,0.9421,-0.207159,0.0610438,0.246463,0.274552,-0.0408616,0.188355,-0.692326,-0.03707,0.814345,0.811329,-0.164146,0.577619,3.0,6.0,3.0,3.0,6.0,3.0
2100.0,34.1112,-34.8749,9.4007,34.3629,-35.8767,9.74516,0.579315,0.291384,0.249986,0.153778,0.318807,-0.0489698,-0.134278,0.143974,-0.1708,0.965437,-0.174669,-0.269999,-0.0948004,0.942128,-0.200779,0.062017,0.251275,0.269873,-0.0401526,0.18864,-0.672031,-0.0307413,0.827668,0.796724,-0.163969,0.57905,3.0,6.0,3.0,3.0,6.0,3.0
2200.0,34.1118,-34.8746,9.40095,34.363,-35.8764,9.74511,0.580602,0.294544,0.248095,0.152491,0.315647,-0.0470784,-0.134397,0.14397,-0.170688,0.965441,-0.174515,-0.270022,-0.094751,0.942154,-0.194315,0.0629639,0.256057,0.265098,-0.0394376,0.188898,-0.651478,-0.0244723,0.840891,0.781819,-0.163809,0.580409,3.0,6.0,3.0,3.0,6.0,3.0
2300.0,34.1124,-34.8743,9.4012,34.3632,-35.8761,9.74507,0.58186,0.29772,0.246205,0.151233,0.312471,-0.0451885,-0.134513,0.143967,-0.170573,0.965445,-0.174364,-0.270044,-0.0947009,0.942181,-0.187769,0.0638845,0.260807,0.260227,-0.0387172,0.189129,-0.630673,-0.0182631,0.854009,0.766619,-0.163668,0.581695,3.0,6.0,3.0,3.0,6.0,3.0
2400.0,34.113,-34.874,9.40144,34.3633,-35.8758,9.74502,0.58309,0.300911,0.244317,0.150003,0.30928,-0.0433006,-0.134627,0.143965,-0.170454,0.965451,-0.174215,-0.270066,-0.0946499,0.942207,-0.181144,0.0647788,0.265523,0.255264,-0.037992,0.189332,-0.609623,-0.0121136,0.867017,0.751132,-0.163547,0.582909,3.0,6.0,3.0,3.0,6.0,3.0
2500.0,34.1136,-34.8737,9.40169,34.3635,-35.8755,9.74498,0.584291,0.304115,0.242432,0.148802,0.306076,-0.0414152,-0.134737,0.143963,-0.170334,0.965457,-0.174069,-0.270089,-0.094598,0.942233,-0.174441,0.0656469,0.270205,0.250209,-0.0372625,0.189509,-0.588336,-0.00602411,0.87991,0.735364,-0.163447,0.584051,3.0,6.0,3.0,3.0,6.0,3.0
2600.0,34.1141,-34.8734,9.40193,34.3636,-35.8752,9.74494,0.585464,0.307331,0.240549,0.147629,0.30286,-0.0395329,-0.134845,0.143962,-0.17021,0.965464,-0.173925,-0.270111,-0.0945454,0.942259,-0.167662,0.066489,0.27485,0.245067,-0.0365291,0.189658,-0.566819,5.4498e-06,0.892685,0.719321,-0.16337,0.585121,3.0,6.0,3.0,3.0,6.0,3.0
